DEBUG 2024-06-17 01:39:05,757 autoreload File C:\Users\Guddu\Desktop\Django\NotificationService\env\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1718566390.1767762
DEBUG 2024-06-17 01:39:05,757 autoreload File C:\Users\Guddu\Desktop\Django\NotificationService\env\Lib\site-packages\twisted\application\service.py first seen with mtime 1718566624.6303368
DEBUG 2024-06-17 01:39:05,758 autoreload File C:\Python312\Lib\textwrap.py first seen with mtime 1701967816.0
DEBUG 2024-06-17 01:39:05,759 autoreload File C:\Python312\Lib\asyncio\proactor_events.py first seen with mtime 1701967814.0
DEBUG 2024-06-17 01:39:05,759 autoreload File C:\Users\Guddu\Desktop\Django\NotificationService\env\Lib\site-packages\django\template\backends\base.py first seen with mtime 1718566390.2086532
DEBUG 2024-06-17 01:39:05,760 autoreload File C:\Users\Guddu\Desktop\Django\NotificationService\env\Lib\site-packages\attr\_compat.py first seen with mtime 1718566617.901699
DEBUG 2024-06-17 01:39:05,761 autoreload File C:\Python312\Lib\asyncio\runners.py first seen with mtime 1701967814.0
DEBUG 2024-06-17 01:39:05,761 autoreload File C:\Users\Guddu\Desktop\Django\NotificationService\env\Lib\site-packages\django\utils\translation\__init__.py first seen with mtime 1718566390.332241
DEBUG 2024-06-17 01:39:05,762 autoreload File C:\Python312\Lib\asyncio\subprocess.py first seen with mtime 1701967814.0
DEBUG 2024-06-17 01:39:05,762 autoreload File C:\Python312\Lib\email\charset.py first seen with mtime 1701967814.0
DEBUG 2024-06-17 01:39:05,763 autoreload File C:\Python312\Lib\gzip.py first seen with mtime 1701967814.0
